SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7550 33rd Ave NE,Seattle,WA,98115,899900,3,2.0,Wedgwood,1840,7650,1939,6,489,,Active,,,http://www.redfin.com/WA/Seattle/7550-33rd-Ave-NE-98115/home/314649,NWMLS,1590128,N,Y,47.6844993,-122.2923469
MLS Listing,,Single Family Residential,6815 35th Ave NW,Seattle,WA,98117,1675000,4,3.5,Sunset Hill,3290,4200,1992,7,509,,Active,,,http://www.redfin.com/WA/Seattle/6815-35th-Ave-NW-98117/home/290396,NWMLS,1572116,N,Y,47.6787332,-122.4027033
MLS Listing,,Single Family Residential,815 N 45th St,Seattle,WA,98103,995000,5,1.75,Phinney Ridge,2980,5100,1925,7,334,,Active,,,http://www.redfin.com/WA/Seattle/815-N-45th-St-98103/home/302447,NWMLS,1589790,N,Y,47.6613012,-122.347872
MLS Listing,,Single Family Residential,2916 3RD Ave N,Seattle,WA,98109,939000,2,1.75,Queen Anne,1970,2310,1914,7,477,,Active,,,http://www.redfin.com/WA/Seattle/2916-3rd-Ave-N-98109/home/129196,NWMLS,1589608,N,Y,47.6461664,-122.3510919
MLS Listing,,Single Family Residential,7809 S sunnycrest Rd,Seattle,WA,98178,940000,3,2.5,Lakeridge,2870,6711,1953,8,328,,Active,,,http://www.redfin.com/WA/Seattle/7809-S-Sunnycrest-Rd-98178/home/197348,NWMLS,1589470,N,Y,47.5045496,-122.2347577
MLS Listing,,Single Family Residential,2330 NW 95th St,Seattle,WA,98117,1600000,3,2.75,North Beach,2900,5200,1959,8,552,,Active,,,http://www.redfin.com/WA/Seattle/2330-NW-95th-St-98117/home/289746,NWMLS,1587939,N,Y,47.6984805,-122.3867551
MLS Listing,,Single Family Residential,303 Lee St,Seattle,WA,98109,1675000,3,3.75,Queen Anne,2362,1288,2019,8,709,,Active,,,http://www.redfin.com/WA/Seattle/303-Lee-St-98109/home/167024574,NWMLS,1589365,N,Y,47.6312591,-122.3510202
MLS Listing,,Single Family Residential,1816 Martin Luther King Jr Way,Seattle,WA,98122,1620000,4,3.5,Madison Valley,3132,4020,2019,8,517,,Active,,,http://www.redfin.com/WA/Seattle/1816-Martin-Luther-King-Jr-Way-98122/home/148013,NWMLS,1589215,N,Y,47.6181773,-122.295822
MLS Listing,,Single Family Residential,8031 Meridian Ave N,Seattle,WA,98103,975000,3,3.0,Green Lake,1910,4905,1929,8,510,,Active,,,http://www.redfin.com/WA/Seattle/8031-Meridian-Ave-N-98103/home/307588,NWMLS,1581572,N,Y,47.6878935,-122.3334314
MLS Listing,,Single Family Residential,2510 NW 91st St,Seattle,WA,98117,1325000,4,2.25,North Beach,4360,15711,1945,10,304,,Active,,,http://www.redfin.com/WA/Seattle/2510-NW-91st-St-98117/home/289896,NWMLS,1586898,N,Y,47.6953922,-122.3890709
MLS Listing,,Single Family Residential,9725 Phinney Ave N,Seattle,WA,98103,850000,4,1.75,Greenwood,2200,5934,1938,10,386,,Active,,,http://www.redfin.com/WA/Seattle/9725-Phinney-Ave-N-98103/home/99250,NWMLS,1581738,N,Y,47.7004443,-122.3542911
MLS Listing,,Single Family Residential,1918 35th Ave W,Seattle,WA,98199,2450000,6,4.5,Magnolia,5170,5242,2009,11,474,,Active,,,http://www.redfin.com/WA/Seattle/1918-35th-Ave-W-98199/home/126530,NWMLS,1586484,N,Y,47.6364989,-122.4008213
